User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002909,Mark,P00125949,F,26-35,28,0,Anambra ,Eastern,Healthcare,Auto,1,23952,,
1002910,Kartik,P00125950,F,26-35,35,1,Anambra ,Eastern,Govt,Auto,3,23934,,
1002911,Bindu,P00125951,F,26-35,35,1,Kaduna,Northern,Automobile,Auto,3,23924,,
1002912,Sudevi,P00125952,M,0-17,16,0,Enugu,Eastern,Construction,Auto,2,23912,,
1002913,Joni,P00125953,M,26-35,28,1,P/H,Southern,Food Processing,Auto,2,23877,,
1002914,Joni,P00125954,M,26-35,28,1,Ogun,Western,Food Processing,Auto,1,23877,,
1002915,Balk,P00125955,F,18-25,25,1,Kaduna,Northern,Lawyer,Auto,4,23841,,
1002916,Shivangi,P00125956,F,55+,61,0,Kastina,Northern,IT Sector,Auto,1,,,
1002917,Kushal,P00125957,M,26-35,35,0,Kaduna,Northern,Govt,Auto,2,23809,,
1002918,Ginny,P00125958,F,26-35,26,1,Anambra ,Eastern,Media,Auto,4,23799.99,,
1002919,Harshita,P00125959,M,26-35,34,0,Lagos,Western,Banking,Auto,1,23770,,
1002920,Kargatis,P00125960,F,18-25,20,0,Anambra ,Eastern,Retail,Auto,2,23752,,
1002921,Elijah,P00125961,F,18-25,20,1,Anambra ,Eastern,IT Sector,Auto,2,23730,,
1002922,Vasudev,P00125962,M,26-35,26,1,Anambra ,Eastern,Automobile,Auto,4,23718,,
1002923,Cano,P00125963,M,46-50,46,1,Imo,Eastern,Hospitality,Auto,3,,,
1002924,Lauren,P00125964,F,18-25,24,0,Anambra ,Eastern,Govt,Auto,2,23664,,
1002925,Amy,P00125965,F,46-50,48,1,Anambra ,Eastern,IT Sector,Auto,3,,,
1002926,Mick,P00125966,F,26-35,29,0,Anambra ,Eastern,Aviation,Auto,1,23619,,
1002927,Praneet,P00125967,M,51-55,54,1,Kaduna,Northern,Hospitality,Auto,1,23568,,
1002928,Praneet,P00125968,M,51-55,54,1,Kaduna,Northern,Hospitality,Auto,1,23568,,
1002929,Ellis,P00125969,F,18-25,19,1,Anambra ,Eastern,Govt,Auto,4,23546,,
1002930,Hrisheekesh,P00125970,F,46-50,46,1,Kaduna,Northern,Banking,Auto,2,23525,,
1002931,Grant,P00125971,F,26-35,30,0,Anambra ,Eastern,IT Sector,Auto,1,23518,,
1002932,Gilcrest,P00125972,F,51-55,53,0,Kaduna,Northern,Automobile,Auto,2,23515,,
1002933,Skaria,P00125973,M,55+,83,0,Enugu,Eastern,Automobile,Auto,3,23513,,
1002934,Eric,P00125974,F,26-35,33,0,Anambra ,Eastern,IT Sector,Auto,3,23462,,
